transaction_id,entreprise_id,pays,notation_pays,score_risque_pays,montant,technique_paiement,date_ouverture,date_prevue,date_effective,delai_prevu,delai_reel,retard,is_late,risque_operationnel,fraude_suspectee,rang_transaction_entreprise,montant_precedent,evolution_montant_pct,score_aml
T000001,E0045,États-Unis,1,0.0,998685.66,Transfert,2022-02-07,2022-02-09,2022-02-09,2,2,0,0,0,0,7,683322.5,46.15,28.5
T000002,E0043,Sénégal,4,75.0,744694.28,Transfert,2022-07-13,2022-07-15,2022-07-15,2,2,0,0,1,1,4,886973.15,-16.04,36.1
T000003,E0126,Pays-Bas,1,0.0,1059075.42,Crédit documentaire,2020-05-31,2020-07-11,2020-08-05,41,66,25,1,0,0,2,488873.32,116.64,24.9
T000004,E0046,Espagne,1,0.0,1409211.94,Transfert,2023-06-10,2023-06-18,2023-06-18,8,8,0,0,0,0,9,937090.14,50.38,17.8
T000005,E0095,Turquie,3,50.0,706338.65,Crédit documentaire,2020-11-17,2020-12-10,2020-12-24,23,37,14,1,0,0,3,326696.59,116.21,27.0
T000006,E0011,Chine,3,50.0,706345.22,Remise documentaire,2024-02-03,2024-03-01,2024-03-01,27,27,0,0,1,0,10,1426209.61,-50.47,30.1
T000007,E0019,France,1,0.0,1431685.13,Transfert,2023-01-30,2023-02-07,2023-02-07,8,8,0,0,0,0,9,841680.44,70.1,24.3
T000008,E0097,Pays-Bas,1,0.0,1106973.89,Remise documentaire,2023-07-04,2023-08-02,2023-08-02,29,29,0,0,0,0,7,605854.58,82.71,18.5
T000009,E0045,Sénégal,4,75.0,612210.25,Transfert,2020-06-16,2020-06-24,2020-06-24,8,8,0,0,0,0,1,,,46.5
T000010,E0025,Émirats arabes unis,2,25.0,1017024.02,Crédit documentaire,2021-06-26,2021-07-21,2021-07-21,25,25,0,0,0,0,2,1023916.18,-0.67,16.6
T000011,E0050,États-Unis,1,0.0,614632.92,Transfert,2022-07-01,2022-07-02,2022-07-02,1,1,0,0,0,0,9,1622482.85,-62.12,16.7
T000012,E0002,Pays-Bas,1,0.0,613708.1,Remise documentaire,2020-11-05,2020-11-18,2020-11-18,13,13,0,0,0,0,2,1234358.23,-50.28,9.8
T000013,E0089,Turquie,3,50.0,896784.91,Transfert,2020-05-04,2020-05-11,2020-05-11,7,7,0,0,0,0,2,1088952.54,-17.65,34.1
T000014,E0078,Émirats arabes unis,2,25.0,110032.87,Remise documentaire,2021-04-27,2021-05-22,2021-06-17,25,51,26,1,0,0,2,1236602.74,-91.1,31.1
T000015,E0001,Chine,3,50.0,575084.99,Remise documentaire,2022-11-24,2022-12-22,2022-12-22,28,28,0,0,0,0,4,478530.17,20.18,22.5
T000016,E0066,Émirats arabes unis,2,25.0,394867.55,Transfert,2020-12-08,2020-12-12,2020-12-12,4,4,0,0,0,0,2,819544.03,-51.82,22.9
T000017,E0071,Sénégal,4,75.0,925698.93,Transfert,2024-08-11,2024-08-14,2024-08-14,3,3,0,0,0,0,7,802097.48,15.41,41.5
T000018,E0026,Espagne,1,0.0,436790.37,Transfert,2023-02-13,2023-02-20,2023-03-10,7,25,18,1,0,0,6,208565.5,109.43,39.8
T000019,E0127,France,1,0.0,235078.52,Remise documentaire,2023-06-30,2023-07-28,2023-07-28,28,28,0,0,0,0,10,687559.88,-65.81,22.0
T000020,E0069,Italie,1,0.0,1386259.51,Remise documentaire,2023-04-08,2023-04-21,2023-04-21,13,13,0,0,0,0,12,943114.94,46.99,16.5
T000021,E0118,Pays-Bas,1,0.0,709689.48,Crédit documentaire,2021-12-05,2022-01-20,2022-01-20,46,46,0,0,0,0,3,946639.3,-25.03,5.2
T000022,E0066,Émirats arabes unis,2,25.0,827011.28,Transfert,2021-07-18,2021-07-25,2021-07-25,7,7,0,0,0,0,4,610021.88,35.57,22.7
T000023,E0112,France,1,0.0,230100.73,Transfert,2021-11-09,2021-11-13,2021-12-14,4,35,31,1,0,0,4,904269.51,-74.55,28.7
T000024,E0059,France,1,0.0,582246.91,Transfert,2024-06-13,2024-06-18,2024-06-18,5,5,0,0,0,0,6,802045.38,-27.4,26.0
T000025,E0094,Sénégal,4,75.0,844369.04,Transfert,2021-04-11,2021-04-14,2021-05-13,3,32,29,1,0,0,2,65517.85,1188.76,62.1
T000026,E0088,Côte d'Ivoire,4,75.0,339602.57,Transfert,2023-08-15,2023-08-17,2023-08-31,2,16,14,1,0,0,5,480681.1,-29.35,41.1
T000027,E0015,Émirats arabes unis,2,25.0,950279.21,Remise documentaire,2022-02-04,2022-02-15,2022-02-15,11,11,0,0,0,0,6,757187.86,25.5,28.3
T000028,E0002,Chine,3,50.0,559744.52,Transfert,2024-05-17,2024-05-26,2024-05-26,9,9,0,0,1,0,7,1007738.61,-44.46,30.2
T000029,E0045,Allemagne,1,0.0,683322.5,Remise documentaire,2021-05-25,2021-06-05,2021-06-05,11,11,0,0,0,0,6,700414.34,-2.44,18.4
T000030,E0116,Pays-Bas,1,0.0,559317.36,Transfert,2022-08-08,2022-08-17,2022-08-17,9,9,0,0,0,0,7,288169.21,94.09,31.0
T000031,E0075,Allemagne,1,0.0,1540911.27,Transfert,2023-05-01,2023-05-09,2023-05-09,8,8,0,0,0,0,9,670928.06,129.67,24.1
T000032,E0074,Belgique,1,0.0,794601.11,Transfert,2024-09-11,2024-09-16,2024-09-16,5,5,0,0,0,0,7,1429594.71,-44.42,15.8
T000033,E0045,États-Unis,1,0.0,376915.63,Transfert,2023-03-17,2023-03-21,2023-03-21,4,4,0,0,0,0,10,654864.58,-42.44,26.6
T000034,E0014,Pays-Bas,1,0.0,1129017.96,Remise documentaire,2022-11-17,2022-11-27,2022-11-27,10,10,0,0,0,0,7,492010.71,129.47,22.0
T000035,E0021,Émirats arabes unis,2,25.0,311662.54,Crédit documentaire,2023-08-18,2023-09-18,2023-09-18,31,31,0,0,1,0,10,560249.99,-44.37,18.1
T000036,E0113,Pays-Bas,1,0.0,883545.44,Remise documentaire,2023-12-23,2024-01-22,2024-01-22,30,30,0,0,0,0,8,878744.49,0.55,11.8
T000037,E0128,Émirats arabes unis,2,25.0,268725.58,Transfert,2022-08-13,2022-08-18,2022-08-18,5,5,0,0,0,0,7,1188628.38,-77.39,29.5
T000038,E0113,Espagne,1,0.0,878744.49,Transfert,2023-09-18,2023-09-24,2023-09-24,6,6,0,0,0,0,7,588553.33,49.31,21.4
T000039,E0110,Sénégal,4,75.0,1095386.63,Transfert,2020-05-10,2020-05-16,2020-05-16,6,6,0,0,0,0,1,,,35.7
